model,question,tier,time_ms,time_s,cost_usd,total_tokens,prompt_tokens,completion_tokens,reasoning_tokens,tool_calls,successful_tool_calls,api_calls,completed,thinking_steps,tool_success_rate
openai/o3,tier1_006,tier1,29326.183795928955,29.326183795928955,0.040084,35135,34502,633,448,2,2,3,True,3,1.0
openai/o3,tier1_001,tier1,48446.3369846344,48.4463369846344,0.067096,82373,81496,877,448,6,6,7,True,7,1.0
openai/o3,tier1_008,tier1,15521.299362182617,15.521299362182617,0.01131,11598,11051,547,384,0,0,1,True,1,0.0
openai/o3,tier3_001,tier3,45401.1287689209,45.4011287689209,0.053934,39255,37367,1888,704,2,2,3,True,3,1.0
openai/o3,tier3_006,tier3,73229.55012321472,73.22955012321472,0.07582,66341,63498,2843,2048,4,4,5,True,5,1.0
openai/o3,tier2_006,tier2,110725.34584999084,110.72534584999084,0.155456,198712,197056,1656,704,14,14,15,True,15,1.0
openai/o3,tier2_001,tier2,108533.13994407654,108.53313994407654,0.06689,39319,38173,1146,960,2,2,3,True,4,1.0
openai/o3,tier1_009,tier1,95326.40886306763,95.32640886306763,0.042499999999999996,37132,36506,626,448,2,2,3,True,4,1.0
openai/o3,tier1_007,tier1,77502.36201286316,77.50236201286316,0.045226,37985,34789,3196,3008,2,2,3,True,3,1.0
openai/o3,tier1_010,tier1,110466.3290977478,110.4663290977478,0.060274,63173,61961,1212,960,4,4,5,True,6,1.0
openai/o3,tier1_002,tier1,26564.528942108154,26.564528942108154,0.042346,36215,35501,714,512,2,2,3,True,3,1.0
openai/o3,tier1_005,tier1,30728.925943374634,30.728925943374634,0.040238,35401,34895,506,320,2,2,3,True,3,1.0
openai/o3,tier2_004,tier2,75423.89011383057,75.42389011383057,0.051558,40125,38507,1618,1408,2,2,3,True,3,1.0
openai/o3,tier2_003,tier2,201151.83997154236,201.15183997154236,0.264866,367027,364457,2570,1216,21,21,22,True,22,1.0
openai/o3,tier3_003,tier3,189044.99506950378,189.04499506950378,0.062000000000000006,57223,55756,1467,1216,3,3,4,True,5,1.0
openai/o3,tier3_004,tier3,87503.13019752502,87.50313019752502,0.058742,41668,39143,2525,2304,2,2,3,True,3,1.0
openai/o3,tier2_002,tier2,224637.57419586182,224.63757419586182,0.437012,659893,656334,3559,1792,21,21,22,True,22,1.0
openai/o3,tier2_005,tier2,94797.34921455383,94.79734921455383,0.042882,37191,36489,702,512,2,2,3,True,4,1.0
openai/o3,tier1_004,tier1,29145.153045654297,29.145153045654297,0.041514,36087,35533,554,384,2,2,3,True,3,1.0
openai/o3,tier1_003,tier1,45453.22918891907,45.45322918891907,0.048118,38159,36971,1188,1024,2,2,3,True,3,1.0
openai/o3,tier3_005,tier3,107206.2919139862,107.2062919139862,0.067702,56912,54967,1945,1600,3,3,4,True,5,1.0
openai/o3,tier3_002,tier3,99876.89971923828,99.87689971923828,0.046612,38528,37458,1070,896,2,2,3,True,4,1.0
