question_id,tier,category,question_text,expected_result,complexity_level,target_molecule,primary_tools_required,num_tools_required,evaluation_type,domain,requires_literature_validation
tier2_002,Tier 2,Conformational Analysis,"Generate conformers of ibuprofen, optimize the lowest energy conformer, then calculate its logP and pKa values",pKa = 4.91; logP = 3.97; Multiple conformers within 2-3 kcal/mol,Moderate,ibuprofen,"rowan_conformers, rowan_descriptors, rowan_pka",3,computational_chemistry,drug_discovery,no
tier2_003,Tier 2,Multi-Property Analysis,"Calculate molecular descriptors for caffeine, predict its solubility in water at 25°C, and determine its dipole moment",Solubility = 21.6 mg/mL at 25°C; Dipole moment = 3.64 D,Moderate,caffeine,"rowan_descriptors, rowan_solubility, rowan_electronic_properties",3,computational_chemistry,drug_discovery,no
tier2_004,Tier 2,Tautomer Analysis,Find all tautomers of morphine and calculate the pKa of each tautomeric form to determine which is dominant at physiological pH,Primary pKa around 8.0 for tertiary amine; phenolic OH pKa around 9.9,Moderate,morphine,"rowan_tautomers, rowan_pka",2,computational_chemistry,drug_discovery,no
tier2_005,Tier 2,Electronic Structure,"Optimize paracetamol geometry, calculate its electronic properties including HOMO/LUMO energies and dipole moment",HOMO-LUMO gap ~4-5 eV; significant dipole moment due to polar groups,Moderate,paracetamol,"rowan_multistage_opt, rowan_electronic_properties",2,computational_chemistry,drug_discovery,no
tier2_006,Tier 2,Redox Potential,Calculate the oxidation and reduction potentials of benzene versus SCE in acetonitrile,High oxidation potential (~2.5 V vs SCE); benzene is electron-rich aromatic,Moderate,benzene,rowan_redox_potential,1,computational_chemistry,drug_discovery,no
tier2_007,Tier 2,Temperature Solubility,"Predict the solubility of caffeine in water at 25°C, 37°C, and 50°C to determine the temperature dependence",Increasing solubility with temperature; ~21 mg/mL at 25°C,Moderate,caffeine,rowan_solubility,1,computational_chemistry,drug_discovery,no
tier3_001,Tier 3,Tautomer-pKa Relationship,"Find the major tautomers of warfarin, calculate the pKa for each tautomeric form, identify the dominant form at pH 7.4, then predict its protein binding affinity",pKa = 5.0-5.1 for enolic OH; 99% protein binding,Complex,warfarin,"rowan_tautomers, rowan_pka, rowan_docking",3,computational_chemistry,drug_discovery,yes
tier3_002,Tier 3,Metabolic Sites,"Optimize acetaminophen structure, calculate Fukui indices to identify reactive sites, predict sites of glucuronidation and sulfation, then calculate the ADMET properties",Phenolic OH = primary metabolic site; Bioavailability = 63-89%,Complex,acetaminophen,"rowan_multistage_opt, rowan_fukui, rowan_admet",3,computational_chemistry,drug_discovery,yes
tier3_003,Tier 3,Conformer-Activity,"Generate conformers of atorvastatin, dock the top 5 conformers to HMG-CoA reductase (PDB: 1HWK), calculate binding energies, and compare to the crystal structure conformation",IC50 = 8 nM; Binding energy ≈ -11 to -12 kcal/mol,Complex,atorvastatin,"rowan_conformers, rowan_docking",2,computational_chemistry,drug_discovery,yes
tier3_004,Tier 3,Reaction Pathway,"Run a dihedral scan on serotonin's ethylamine chain, identify the energy minimum, then calculate Fukui indices to predict the most reactive sites for electrophilic attack",Multiple conformational minima; highest f(-) indices at aromatic positions ortho to OH,Complex,serotonin,"rowan_scan, rowan_fukui",2,computational_chemistry,drug_discovery,yes
tier3_005,Tier 3,Conformer-ADMET Analysis,"Generate conformers of paclitaxel (taxol), select the lowest energy conformer, then predict its ADMET properties focusing on blood-brain barrier permeability",Complex conformational landscape; poor BBB permeability due to size and polarity,Complex,paclitaxel,"rowan_conformers, rowan_admet",2,computational_chemistry,drug_discovery,yes
tier3_006,Tier 3,Comprehensive Study,"Optimize penicillin G geometry, calculate molecular descriptors, predict solubility at multiple temperatures, then dock to a β-lactamase enzyme to understand resistance mechanisms",β-lactam ring strain; moderate solubility; competitive binding to β-lactamase active site,Complex,penicillin G,"rowan_multistage_opt, rowan_descriptors, rowan_solubility, rowan_docking",4,computational_chemistry,drug_discovery,yes
