model,question,tier,time_ms,time_s,cost_usd,total_tokens,prompt_tokens,completion_tokens,reasoning_tokens,tool_calls,successful_tool_calls,api_calls,completed,thinking_steps
google/gemini-2.5-pro,tier1_006,tier1,205367.9518699646,205.3679518699646,0.08603691,91246,88031,3215,2669,7,7,8,True,19
anthropic/claude-sonnet-4.5,tier1_006,tier1,178177.71887779236,178.17771887779236,0.281328,89568,88516,1052,0,4,4,5,True,10
anthropic/claude-opus-4.1,tier1_006,tier1,226905.15804290771,226.90515804290771,1.6713300000000002,106886,105752,1134,0,5,5,6,True,13
openai/o3,tier1_006,tier1,29326.183795928955,29.326183795928955,0.040084,35135,34502,633,448,2,2,3,True,3
x-ai/grok-4-fast,tier1_006,tier1,20618.717193603516,20.618717193603516,0.0,39200,38754,446,321,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_006,tier1,19497.711658477783,19.497711658477783,0.00392638,40391,39854,537,393,2,2,3,True,4
openai/gpt-5,tier1_006,tier1,138244.5330619812,138.2445330619812,0.036647125,89911,87388,2523,1536,6,6,7,True,17
deepseek/deepseek-chat-v3.1,tier1_006,tier1,59304.01110649109,59.30401110649109,0.0,99339,98910,429,0,6,6,7,True,12
anthropic/claude-sonnet-4,tier1_006,tier1,202176.84507369995,202.17684507369995,0.441189,141747,140418,1329,0,7,7,8,True,19
google/gemini-2.5-pro,tier1_001,tier1,196450.70791244507,196.45070791244507,0.09162718,104046,100770,3276,2546,8,8,9,True,20
anthropic/claude-sonnet-4.5,tier1_001,tier1,185071.12979888916,185.07112979888916,0.39509400000000006,126458,125148,1310,0,6,6,7,True,14
anthropic/claude-opus-4.1,tier1_001,tier1,151227.12302207947,151.22712302207947,2.17143,139758,138507,1251,0,7,7,8,True,18
openai/o3,tier1_001,tier1,48446.3369846344,48.4463369846344,0.067096,82373,81496,877,448,6,6,7,True,7
x-ai/grok-4-fast,tier1_001,tier1,38340.004205703735,38.340004205703735,0.0,104623,100823,3800,3402,6,6,7,True,7
x-ai/grok-code-fast-1,tier1_001,tier1,76850.26502609253,76.85026502609253,0.01144542,113399,108846,4553,4059,6,6,7,True,10
openai/gpt-5,tier1_001,tier1,58629.9889087677,58.6299889087677,0.0216585,62878,60788,2090,1600,4,4,5,True,6
deepseek/deepseek-chat-v3.1,tier1_001,tier1,39789.27397727966,39.78927397727966,0.0,84213,83707,506,0,5,5,6,True,11
anthropic/claude-sonnet-4,tier1_001,tier1,214432.9969882965,214.4329969882965,0.555978,178630,176956,1674,0,9,9,10,True,23
google/gemini-2.5-pro,tier1_008,tier1,6553136.054992676,6553.136054992676,0.81636582,1802861,1794726,8135,1668,97,97,98,True,207
anthropic/claude-sonnet-4.5,tier1_008,tier1,578057.6708316803,578.0576708316803,0.419898,134822,133536,1286,0,6,6,7,True,16
anthropic/claude-opus-4.1,tier1_008,tier1,478320.55401802063,478.32055401802063,2.076705,133479,132237,1242,0,6,6,7,True,16
openai/o3,tier1_008,tier1,15521.299362182617,15.521299362182617,0.01131,11598,11051,547,384,0,0,1,True,1
x-ai/grok-4-fast,tier1_008,tier1,20062.193870544434,20.062193870544434,0.0,40119,39686,433,300,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_008,tier1,21511.334896087646,21.511334896087646,0.0042891199999999996,41708,41068,640,531,2,2,3,True,4
openai/gpt-5,tier1_008,tier1,601417.1748161316,601.4171748161316,0.174897,1539891,1530000,9891,6464,53,53,54,True,58
deepseek/deepseek-chat-v3.1,tier1_008,tier1,78949.56493377686,78.94956493377686,0.0,104769,104350,419,0,6,6,7,True,13
anthropic/claude-sonnet-4,tier1_008,tier1,716423.2230186462,716.4232230186462,0.740676,239396,237522,1874,0,11,11,12,True,28
google/gemini-2.5-pro,tier3_001,tier3,1173998.0747699738,1173.9980747699738,0.66636695,505074,473331,31743,632,19,19,16,True,41
anthropic/claude-sonnet-4.5,tier3_001,tier3,1276030.9150218964,1276.0309150218964,0.0,430576,425766,4810,0,21,21,16,True,43
anthropic/claude-opus-4.1,tier3_001,tier3,1489370.1372146606,1489.3701372146606,10.291500000000001,669016,664745,4271,0,24,24,25,True,54
openai/o3,tier3_001,tier3,45401.1287689209,45.4011287689209,0.053934,39255,37367,1888,704,2,2,3,True,3
x-ai/grok-4-fast,tier3_001,tier3,2755673.501968384,2755.673501968384,0.0,628175,620655,7520,4667,24,24,25,True,49
x-ai/grok-code-fast-1,tier3_001,tier3,1194112.596988678,1194.112596988678,0.03192946,447654,440105,7549,5709,19,19,20,True,36
openai/gpt-5,tier3_001,tier3,756456.967830658,756.456967830658,0.17024525,568076,559353,8723,5120,28,28,29,True,38
deepseek/deepseek-chat-v3.1,tier3_001,tier3,1981454.754114151,1981.454754114151,0.0,616524,613253,3271,0,26,26,27,True,66
anthropic/claude-sonnet-4,tier3_001,tier3,1309570.119857788,1309.570119857788,1.841178,595422,590846,4576,0,22,22,23,True,47
google/gemini-2.5-pro,tier3_006,tier3,2971311.252117157,2971.311252117157,0.3678035,392426,387064,5362,2378,33,33,31,True,81
anthropic/claude-sonnet-4.5,tier3_006,tier3,703364.4123077393,703.3644123077393,0.0,755540,749422,6118,0,25,25,18,True,47
anthropic/claude-opus-4.1,tier3_006,tier3,584998.6608028412,584.9986608028412,7.504455,485765,482132,3633,0,15,15,16,True,34
openai/o3,tier3_006,tier3,73229.55012321472,73.22955012321472,0.07582,66341,63498,2843,2048,4,4,5,True,5
x-ai/grok-code-fast-1,tier3_006,tier3,352773.38004112244,352.77338004112244,0.045388120000000004,314113,306797,7316,4049,17,17,12,True,24
openai/gpt-5,tier3_006,tier3,3628331.9969177246,3628.3319969177246,0.49915625,741456,714629,26827,23040,22,22,23,True,38
deepseek/deepseek-chat-v3.1,tier3_006,tier3,1154502.9036998749,1154.5029036998749,0.0,536976,534205,2771,0,26,26,27,True,64
anthropic/claude-sonnet-4,tier3_006,tier3,687648.4169960022,687.6484169960022,1.493145,487503,484950,2553,0,15,15,16,True,34
google/gemini-2.5-pro,tier2_006,tier2,235919.02685165405,235.91902685165405,0.09932786,71145,67864,3281,2830,5,5,6,True,11
anthropic/claude-sonnet-4.5,tier2_006,tier2,294960.73389053345,294.96073389053345,0.341256,108532,107227,1305,0,5,5,6,True,13
anthropic/claude-opus-4.1,tier2_006,tier2,231979.97307777405,231.97997307777405,1.69569,107622,106266,1356,0,5,5,6,True,13
openai/o3,tier2_006,tier2,110725.34584999084,110.72534584999084,0.155456,198712,197056,1656,704,14,14,15,True,15
x-ai/grok-4-fast,tier2_006,tier2,69242.45023727417,69.24245023727417,0.0,237432,234403,3029,1750,15,15,16,True,16
x-ai/grok-code-fast-1,tier2_006,tier2,116586.90094947815,116.58690094947815,0.00972086,225400,223693,1707,767,14,14,15,True,17
